ID,Age,Gender,Marital Status,Income Level,Purchase History,Coverage,Premium,Education Level,Geographic Information,Occupation,Behavioral Data,Interactions with Customer Service,Insurance Products Owned,Policy Type,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language
135,38,Female,Divorced,3102.026375,6/7/2021,43436.9,1127.877,Doctorate,Rajasthan,Artist,policy1,Email,policy4,Group,Phone,Text,Evening,English
136,27,Male,Single,1487.231918,2/5/2023,43659.8,1381.546,Master's Degree,Uttarakhand,Manager,policy3,Phone,policy3,Group,Mail,Email,Weekends,German
137,39,Male,Single,6955.772336,1/6/2022,27038.6,56.718,Associate Degree,Goa,Entrepreneur,policy3,Mobile App,policy4,Business,Phone,Phone,Evening,French
138,65,Male,Divorced,5197.113936,4/17/1999,18237.1,147.372,High School Diploma,Delhi,Salesperson,policy2,Email,policy2,Business,Email,In-Person Meeting,Evening,French
139,47,Male,Single,5794.194679,5/6/2022,35932,70.57,Associate Degree,Delhi,Teacher,policy2,Phone,policy2,Group,In-Person Meeting,In-Person Meeting,Morning,Mandarin
140,20,Female,Married,2132.097116,7/22/2024,48347.8,1836.555,Bachelor's Degree,Madhya Pradesh,Lawyer,policy4,Chat,policy5,Family,Email,In-Person Meeting,Anytime,Spanish
141,40,Male,Married,2720.246991,10/3/2015,20647,560.455,Master's Degree,Madhya Pradesh,Salesperson,policy4,Email,policy5,Business,In-Person Meeting,Phone,Weekends,Mandarin
142,37,Male,Single,8447.892268,4/14/2021,48410.7,136.91,High School Diploma,Manipur,Teacher,policy3,Mobile App,policy5,Business,Email,In-Person Meeting,Anytime,German
143,68,Female,Widowed,4384.571238,3/10/1986,33044.4,240.861,Bachelor's Degree,Bihar,Manager,policy2,Email,policy3,Business,In-Person Meeting,In-Person Meeting,Evening,English
144,54,Female,Married,4549.974633,4/20/2008,49203.7,372.185,Associate Degree,Andhra Pradesh,Lawyer,policy2,Mobile App,policy1,Family,Phone,In-Person Meeting,Weekends,German
145,30,Female,Single,7371.008768,11/22/2021,49803.2,247.582,Associate Degree,Mizoram,Salesperson,policy3,In-Person,policy2,Individual,In-Person Meeting,Text,Morning,Spanish
146,53,Female,Widowed,3817.092354,11/23/2010,40674.2,267.58,Doctorate,Madhya Pradesh,Salesperson,policy4,Email,policy1,Family,Text,In-Person Meeting,Afternoon,German
147,43,Female,Single,6023.72361,1/13/2023,41247,51.813,Associate Degree,Chandigarh,Manager,policy2,Chat,policy1,Individual,Email,Text,Anytime,English
148,42,Female,Married,1582.563337,5/21/2019,48798.5,664.814,Doctorate,Daman and Diu,Lawyer,policy1,Chat,policy1,Individual,Mail,In-Person Meeting,Weekends,French
149,62,Female,Widowed,5580.913749,1/19/1978,31313.6,273.433,Doctorate,Puducherry,Manager,policy1,In-Person,policy4,Individual,Phone,Text,Afternoon,French
150,30,Female,Single,1652.010642,1/22/2025,44360,1719.041,Doctorate,Madhya Pradesh,Manager,policy3,In-Person,policy3,Business,Email,In-Person Meeting,Weekends,Spanish
151,45,Male,Single,8802.126085,8/21/2021,49303.5,138.48,Master's Degree,Delhi,Engineer,policy3,In-Person,policy1,Family,Phone,Email,Evening,French
152,40,Male,Single,10090.48711,10/6/2022,8790.5,11.288,Master's Degree,Punjab,Entrepreneur,policy5,Mobile App,policy5,Business,Text,Text,Weekends,Spanish
153,37,Male,Divorced,9448.249294,2/19/2021,23320.6,110.873,Associate Degree,Tripura,Entrepreneur,policy3,Email,policy2,Individual,Text,In-Person Meeting,Evening,English
154,55,Female,Married,5395.414819,11/22/1994,30046.3,177.788,Master's Degree,Assam,Teacher,policy3,Mobile App,policy1,Family,Mail,Mail,Afternoon,French
155,71,Male,Widowed,3962.521809,2/15/1995,23951.8,235.098,Associate Degree,Mizoram,Entrepreneur,policy1,Mobile App,policy5,Group,Email,Phone,Morning,French
156,28,Male,Single,1554.85044,10/25/2022,33642.9,1546.708,Associate Degree,West Bengal,Artist,policy1,Email,policy1,Business,Text,In-Person Meeting,Weekends,German
157,24,Male,Single,2315.876337,6/3/2024,18784.8,597.135,Master's Degree,Gujarat,Doctor,policy5,In-Person,policy5,Family,Text,Mail,Morning,French
158,44,Female,Divorced,1366.354425,3/8/2023,19301.6,374.106,Master's Degree,Uttarakhand,Artist,policy3,Mobile App,policy2,Business,Phone,Phone,Afternoon,English
159,38,Male,Widowed,5158.819444,4/19/1981,27659.9,193.778,Bachelor's Degree,Odisha,Teacher,policy3,Chat,policy3,Business,Text,In-Person Meeting,Anytime,German
160,45,Female,Married,4153.598184,11/2/2019,27718.9,324.883,Master's Degree,Himachal Pradesh,Lawyer,policy2,Phone,policy3,Individual,Email,Email,Morning,German
