ID,Age,Gender,Marital Status,Income Level,Purchase History,Coverage,Premium,Education Level,Geographic Information,Occupation,Behavioral Data,Interactions with Customer Service,Insurance Products Owned,Policy Type,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language,Cluster
70,25,Female,Single,968.0238483,11/10/2024,17240.9,529.988,Master's Degree,Jharkhand,Entrepreneur,policy4,Mobile App,policy2,Business,Email,Mail,Evening,German,1
73,26,Female,Single,1686.962378,3/2/2025,17146.5,583.832,Master's Degree,Uttar Pradesh,Salesperson,policy4,Mobile App,policy1,Family,Email,Text,Evening,Mandarin,1
84,25,Female,Single,2065.267532,8/11/2022,25462.5,1215.542,Associate Degree,Lakshadweep,Doctor,policy5,Mobile App,policy4,Business,Text,In-Person Meeting,Anytime,French,1
88,28,Male,Single,1526.308299,5/3/2022,22520.3,779.686,High School Diploma,Bihar,Engineer,policy2,Mobile App,policy5,Family,Email,Phone,Afternoon,French,1
96,32,Male,Single,2079.989634,10/14/2023,29855,1098.589,High School Diploma,Tripura,Salesperson,policy3,In-Person,policy5,Family,Mail,Mail,Weekends,German,1
101,27,Male,Single,2178.259443,4/29/2024,20290.6,728.963,Bachelor's Degree,Arunachal Pradesh,Salesperson,policy3,Mobile App,policy2,Group,Text,Text,Weekends,English,1
102,31,Male,Single,1556.541561,6/11/2022,17097.5,831.632,High School Diploma,Jharkhand,Engineer,policy2,In-Person,policy3,Business,Text,Phone,Weekends,German,1
105,20,Female,Single,1655.866211,3/14/2025,26646.4,887.226,High School Diploma,Tamil Nadu,Entrepreneur,policy2,Mobile App,policy5,Group,Text,In-Person Meeting,Weekends,German,1
107,18,Female,Single,2079.846881,7/21/2024,16529.4,627.1,Doctorate,Uttarakhand,Salesperson,policy3,Chat,policy5,Family,Email,Mail,Afternoon,French,1
108,32,Male,Single,1152.641248,6/2/2024,19744.3,863.965,Master's Degree,Gujarat,Entrepreneur,policy1,Email,policy4,Business,Phone,In-Person Meeting,Evening,French,1
112,24,Male,Single,1490.557739,1/28/2025,25789.2,984.495,High School Diploma,Andaman and Nicobar Islands,Salesperson,policy1,In-Person,policy2,Business,In-Person Meeting,In-Person Meeting,Afternoon,Spanish,1
115,30,Female,Married,1077.521896,7/3/2022,48300.6,1888.766,Doctorate,Arunachal Pradesh,Doctor,policy1,Chat,policy1,Group,Text,Phone,Morning,Spanish,1
119,24,Female,Single,1656.153209,12/17/2023,48183.9,2366.457,Doctorate,Chhattisgarh,Teacher,policy1,Chat,policy2,Business,Email,Email,Afternoon,Spanish,1
128,26,Female,Married,1422.565712,1/26/2024,39575.7,1546.452,Doctorate,Andhra Pradesh,Entrepreneur,policy3,In-Person,policy1,Family,In-Person Meeting,Phone,Evening,German,1
132,29,Male,Single,1953.40033,12/21/2024,25761.1,1085.188,Bachelor's Degree,Uttar Pradesh,Nurse,policy2,In-Person,policy1,Group,In-Person Meeting,Email,Morning,German,1
136,27,Male,Separated,1487.231918,10/28/2024,43659.8,1381.546,Master's Degree,Uttarakhand,Manager,policy3,Phone,policy3,Group,Mail,Email,Weekends,German,1
140,20,Female,Single,2132.097116,11/21/2023,48347.8,1836.555,Bachelor's Degree,Madhya Pradesh,Lawyer,policy4,Chat,policy5,Family,Email,In-Person Meeting,Anytime,Spanish,1
150,30,Female,Single,1652.010642,4/20/2024,44360,1719.041,Doctorate,Madhya Pradesh,Manager,policy3,In-Person,policy3,Business,Email,In-Person Meeting,Weekends,Spanish,1
156,28,Male,Single,1554.85044,7/12/2023,33642.9,1546.708,Associate Degree,West Bengal,Artist,policy1,Email,policy1,Business,Text,In-Person Meeting,Weekends,German,1
157,24,Male,Single,2315.876337,12/25/2022,18784.8,597.135,Master's Degree,Gujarat,Doctor,policy5,In-Person,policy5,Family,Text,Mail,Morning,French,1
176,25,Male,Single,1653.197,12/11/2022,33482.1,1401.126,Bachelor's Degree,Telangana,Lawyer,policy3,Mobile App,policy2,Group,Mail,In-Person Meeting,Morning,Spanish,1
177,24,Female,Married,1237.789089,1/5/2024,47190.9,1427.998,Doctorate,Andaman and Nicobar Islands,Lawyer,policy2,Email,policy4,Individual,Mail,Email,Morning,Mandarin,1
178,27,Female,Single,1876.968983,6/12/2022,32663.3,1612.169,Doctorate,Andaman and Nicobar Islands,Salesperson,policy1,Email,policy3,Business,Phone,Text,Evening,Mandarin,1
180,25,Female,Married,1611.857276,3/23/2025,9642.7,316.714,Associate Degree,Punjab,Entrepreneur,policy5,Email,policy2,Individual,Email,Email,Weekends,Spanish,1
181,20,Female,Married,2161.161857,1/20/2025,35662.6,1326.746,High School Diploma,Sikkim,Entrepreneur,policy5,Mobile App,policy3,Group,Mail,Phone,Morning,German,1
182,34,Male,Single,1572.87933,9/23/2023,46180.5,1608.97,Doctorate,Odisha,Artist,policy3,Phone,policy3,Group,Phone,Mail,Evening,Spanish,1
189,29,Female,Single,1728.071507,10/15/2022,7679,357.237,Doctorate,Haryana,Nurse,policy2,Mobile App,policy1,Individual,Phone,Phone,Morning,French,1
190,22,Male,Single,1949.282972,2/15/2025,24777.5,1234.542,Doctorate,Haryana,Doctor,policy4,Email,policy1,Group,In-Person Meeting,Text,Weekends,German,1
195,30,Female,Married,2836.869512,8/25/2022,32196.7,1595.137,Doctorate,Himachal Pradesh,Manager,policy5,Phone,policy1,Family,Text,In-Person Meeting,Evening,German,1
198,26,Male,Single,2563.365362,8/31/2023,12046.7,380.928,High School Diploma,Tamil Nadu,Lawyer,policy5,Email,policy4,Business,Phone,Email,Weekends,German,1
200,21,Female,Single,1720.343563,3/28/2023,35190.8,1293.802,High School Diploma,Haryana,Manager,policy2,In-Person,policy5,Business,Mail,In-Person Meeting,Anytime,Spanish,1
209,25,Male,Single,1748.88931,6/4/2023,24133.5,1048.307,Associate Degree,Nagaland,Nurse,policy1,Mobile App,policy4,Group,Mail,Mail,Weekends,Mandarin,1
211,25,Male,Married,1891.094201,11/22/2022,10174.5,446.786,Master's Degree,Telangana,Nurse,policy5,Phone,policy5,Family,Text,Mail,Afternoon,Mandarin,1
213,28,Male,Single,1267.863083,9/24/2022,32490.7,1274.596,Bachelor's Degree,Madhya Pradesh,Manager,policy4,Phone,policy3,Individual,Email,Text,Weekends,German,1
223,30,Female,Single,1344.441021,2/23/2024,14447.6,656.925,Doctorate,Chhattisgarh,Engineer,policy4,In-Person,policy1,Business,Email,Mail,Afternoon,French,1
228,25,Male,Single,1478.176635,8/20/2024,17613.1,667.136,Master's Degree,Dadra and Nagar Haveli,Entrepreneur,policy5,In-Person,policy5,Business,Text,In-Person Meeting,Weekends,French,1
239,26,Male,Single,1890.40826,12/28/2022,22407.3,787.79,Master's Degree,Bihar,Entrepreneur,policy5,Chat,policy3,Business,Email,In-Person Meeting,Evening,German,1
255,26,Female,Single,2190.953844,7/6/2024,44834.2,1451.136,Doctorate,Haryana,Lawyer,policy5,Chat,policy2,Business,Phone,Phone,Afternoon,English,1
261,27,Male,Married,1718.815883,1/15/2025,42849.6,1787.132,Bachelor's Degree,Lakshadweep,Doctor,policy3,Chat,policy3,Group,Text,In-Person Meeting,Morning,French,1
262,31,Male,Separated,1974.836971,10/14/2024,7937.5,394.753,Bachelor's Degree,Uttar Pradesh,Salesperson,policy4,Phone,policy1,Group,Phone,Phone,Morning,Spanish,1
264,35,Male,Married,2359.640982,6/25/2024,9940.7,449.377,Doctorate,Arunachal Pradesh,Salesperson,policy1,Phone,policy1,Business,In-Person Meeting,In-Person Meeting,Weekends,Mandarin,1
265,24,Female,Single,1775.549171,10/9/2022,46247.8,2013.137,Associate Degree,Daman and Diu,Artist,policy1,Phone,policy3,Group,In-Person Meeting,Phone,Afternoon,Mandarin,1
267,30,Male,Married,2340.571468,3/29/2024,5694.9,198.261,High School Diploma,Goa,Nurse,policy5,Chat,policy2,Individual,Email,Email,Morning,German,1
270,28,Male,Single,1825.543235,3/14/2025,47530.9,1581.376,Master's Degree,Andaman and Nicobar Islands,Lawyer,policy2,In-Person,policy1,Individual,Mail,Phone,Morning,French,1
272,19,Female,Single,1534.606919,1/23/2025,9039.7,315.549,High School Diploma,Tamil Nadu,Entrepreneur,policy2,Mobile App,policy4,Business,Text,Mail,Afternoon,French,1
288,19,Male,Single,1769.563723,8/8/2024,47848.6,1642.872,High School Diploma,West Bengal,Salesperson,policy1,In-Person,policy4,Family,Email,In-Person Meeting,Weekends,German,1
296,23,Female,Married,1326.850367,5/9/2024,16229.6,619.755,High School Diploma,Karnataka,Engineer,policy5,Phone,policy4,Individual,Text,Mail,Evening,French,1
301,22,Female,Single,1693.846902,7/9/2022,7430,293.641,Bachelor's Degree,Daman and Diu,Nurse,policy3,In-Person,policy5,Family,Phone,Text,Afternoon,German,1
303,20,Female,Single,2293.336289,10/28/2022,48302.7,2354.648,Associate Degree,Lakshadweep,Nurse,policy5,Email,policy3,Individual,Email,In-Person Meeting,Anytime,Spanish,1
304,27,Male,Single,1586.84464,9/28/2024,20348.7,773.859,Doctorate,Gujarat,Salesperson,policy3,Phone,policy1,Business,Phone,Mail,Morning,German,1
307,29,Male,Single,1863.862911,5/15/2024,31676.5,1217.168,Master's Degree,Arunachal Pradesh,Nurse,policy1,Mobile App,policy2,Group,Mail,Mail,Anytime,French,1
310,31,Male,Married,935.4063306,1/13/2023,28536.5,1206.485,Master's Degree,Arunachal Pradesh,Artist,policy3,In-Person,policy1,Group,Text,Mail,Afternoon,German,1
316,27,Female,Single,1513.697268,1/15/2023,5305.1,249.805,Associate Degree,Haryana,Teacher,policy2,Phone,policy4,Group,Text,Mail,Weekends,German,1
321,34,Male,Married,1455.945232,6/21/2023,36257.2,1600.887,Doctorate,Arunachal Pradesh,Doctor,policy4,Chat,policy3,Family,Mail,In-Person Meeting,Morning,English,1
322,30,Male,Married,1556.03435,11/21/2024,35050.4,1510.33,Bachelor's Degree,Punjab,Lawyer,policy1,Phone,policy3,Group,In-Person Meeting,Phone,Morning,English,1
326,26,Male,Single,1112.666223,11/12/2022,33571.8,1107.983,Master's Degree,Himachal Pradesh,Salesperson,policy1,Chat,policy2,Group,Text,Phone,Anytime,English,1
331,35,Female,Single,2209.618983,12/7/2024,12129.5,365.434,Bachelor's Degree,Kerala,Teacher,policy1,Chat,policy1,Individual,Phone,Phone,Morning,Spanish,1
334,21,Female,Single,1680.81827,11/28/2022,27430.1,1049.268,Master's Degree,Puducherry,Manager,policy1,In-Person,policy4,Family,Phone,Mail,Weekends,English,1
336,25,Male,Single,660.1537144,4/11/2022,22780.4,895.363,Doctorate,Gujarat,Entrepreneur,policy2,Email,policy4,Family,Mail,In-Person Meeting,Evening,German,1
337,20,Female,Single,1582.510281,5/19/2024,13598.1,555.147,Bachelor's Degree,Manipur,Salesperson,policy1,In-Person,policy4,Business,Email,In-Person Meeting,Morning,Spanish,1
338,18,Female,Single,1347.511612,5/15/2022,46591.6,2306.853,High School Diploma,Gujarat,Doctor,policy1,Mobile App,policy3,Business,Email,Mail,Anytime,Mandarin,1
345,20,Male,Single,2000.988533,12/20/2024,48979.2,2335.119,High School Diploma,Himachal Pradesh,Salesperson,policy3,Chat,policy5,Group,Email,Text,Morning,French,1
348,27,Female,Single,1869.847021,8/24/2023,30809,1348.747,Doctorate,Tripura,Doctor,policy5,In-Person,policy4,Business,Mail,Email,Morning,French,1
349,25,Female,Married,1535.177651,12/23/2023,19093.2,815.917,Doctorate,Lakshadweep,Entrepreneur,policy3,In-Person,policy2,Group,Text,In-Person Meeting,Weekends,French,1
354,30,Male,Single,1884.440173,10/28/2022,14753.2,450.162,High School Diploma,Himachal Pradesh,Teacher,policy3,Chat,policy1,Group,In-Person Meeting,Text,Afternoon,Mandarin,1
355,20,Female,Single,901.3707711,4/21/2023,42363.2,1538.764,Doctorate,Himachal Pradesh,Teacher,policy4,Email,policy2,Individual,Mail,Phone,Weekends,Mandarin,1
357,20,Male,Single,1769.22103,11/27/2023,40575.4,1520.159,Doctorate,Gujarat,Manager,policy3,Mobile App,policy5,Business,Text,Phone,Afternoon,French,1
367,24,Female,Married,2037.81929,3/7/2025,35065.7,1707.304,Doctorate,Haryana,Entrepreneur,policy2,Chat,policy3,Business,Mail,Email,Morning,German,1
369,24,Female,Married,1689.651822,7/5/2023,41283.3,1747.875,Master's Degree,Andaman and Nicobar Islands,Artist,policy1,Chat,policy3,Group,Phone,Text,Weekends,French,1
375,24,Male,Single,1951.024406,2/14/2025,7771.2,250.192,Associate Degree,Karnataka,Artist,policy5,Phone,policy3,Group,Email,In-Person Meeting,Anytime,French,1
381,28,Male,Single,1904.691313,1/2/2025,34964.8,1490.769,Doctorate,Bihar,Artist,policy5,In-Person,policy1,Family,Email,Email,Anytime,French,1
388,24,Female,Single,1647.209358,4/8/2023,29645.8,1240.938,High School Diploma,Madhya Pradesh,Teacher,policy3,Mobile App,policy4,Group,Email,Phone,Anytime,German,1
390,27,Male,Single,2076.272021,8/22/2022,27399.2,992.568,Bachelor's Degree,Lakshadweep,Entrepreneur,policy5,In-Person,policy2,Individual,In-Person Meeting,Mail,Weekends,French,1
391,25,Male,Single,1575.836234,11/27/2022,13599.9,457.348,Associate Degree,Lakshadweep,Teacher,policy5,Email,policy2,Business,Mail,Phone,Anytime,French,1
396,31,Male,Married,1497.320509,5/9/2022,33910.6,1530.157,Bachelor's Degree,Goa,Doctor,policy2,Chat,policy5,Individual,Phone,Mail,Anytime,French,1
397,20,Male,Married,1802.474366,11/6/2023,6795.5,275.24,Associate Degree,Assam,Salesperson,policy3,Mobile App,policy4,Individual,Phone,Phone,Afternoon,German,1
399,30,Female,Single,1476.544868,6/9/2022,27286.6,947.418,Doctorate,Uttarakhand,Entrepreneur,policy5,Phone,policy4,Business,Text,In-Person Meeting,Evening,French,1
400,28,Female,Single,1975.163471,9/24/2024,27041.1,1266.623,Associate Degree,Daman and Diu,Salesperson,policy3,Mobile App,policy5,Individual,Phone,Mail,Anytime,German,1
402,21,Male,Single,1459.179169,4/24/2024,33120.9,1126.729,Master's Degree,Goa,Salesperson,policy3,In-Person,policy4,Family,Mail,Mail,Afternoon,Mandarin,1
405,30,Female,Married,2820.954534,10/2/2023,22408.8,1108.558,Associate Degree,Haryana,Doctor,policy3,Phone,policy5,Group,Mail,Text,Weekends,Mandarin,1
406,27,Female,Single,1829.159241,4/12/2023,38610.7,1567.828,Bachelor's Degree,Himachal Pradesh,Salesperson,policy2,In-Person,policy5,Group,Text,Email,Afternoon,French,1
407,24,Male,Single,1916.131566,8/27/2024,5480.9,168.995,Master's Degree,Madhya Pradesh,Engineer,policy1,Mobile App,policy2,Group,Mail,Email,Afternoon,German,1
414,23,Female,Single,1775.736559,4/1/2023,35898.7,1531.167,Bachelor's Degree,Nagaland,Artist,policy3,Phone,policy4,Business,Email,Mail,Evening,German,1
415,25,Female,Single,2137.336208,2/14/2023,20673,631.16,Associate Degree,Nagaland,Artist,policy3,Chat,policy4,Group,Email,Phone,Morning,German,1
416,25,Female,Single,1042.339014,1/22/2024,40299.6,1778.645,Master's Degree,Sikkim,Entrepreneur,policy3,Chat,policy4,Group,Email,In-Person Meeting,Afternoon,English,1
423,31,Female,Single,1715.023761,9/29/2023,49214.1,1825.471,Doctorate,Chhattisgarh,Engineer,policy3,Phone,policy3,Group,Email,Email,Anytime,English,1
427,30,Female,Single,2163.965473,11/4/2022,17368.4,864.136,High School Diploma,Tamil Nadu,Doctor,policy1,In-Person,policy1,Business,Mail,In-Person Meeting,Morning,French,1
442,28,Male,Separated,1869.760342,11/5/2023,18398.3,611.103,Master's Degree,Manipur,Artist,policy3,Mobile App,policy2,Individual,In-Person Meeting,Phone,Weekends,German,1
444,24,Female,Single,1773.259179,10/12/2023,31768.3,1458.044,Master's Degree,Tamil Nadu,Salesperson,policy2,Phone,policy1,Business,Text,Email,Weekends,French,1
446,29,Male,Married,1805.048555,1/13/2024,8875.6,393.393,Doctorate,Uttarakhand,Nurse,policy3,Chat,policy5,Individual,Mail,Phone,Anytime,Spanish,1
447,22,Male,Single,2268.1707,1/22/2023,30199.5,1070.456,High School Diploma,Andaman and Nicobar Islands,Lawyer,policy3,Phone,policy1,Individual,In-Person Meeting,Mail,Morning,German,1
452,24,Female,Single,2069.406235,2/18/2023,25812.4,1287.594,Doctorate,West Bengal,Engineer,policy5,Mobile App,policy3,Group,Email,Text,Evening,German,1
455,25,Male,Single,1875.446814,5/1/2022,20557.6,705.553,Doctorate,Uttar Pradesh,Salesperson,policy5,Email,policy3,Individual,In-Person Meeting,Mail,Weekends,French,1
457,25,Female,Single,1354.897149,9/4/2022,31451.2,1105.625,Doctorate,Goa,Entrepreneur,policy5,Phone,policy3,Business,In-Person Meeting,Phone,Evening,Mandarin,1
458,20,Male,Single,1611.911071,7/19/2023,38835.7,1499.296,Doctorate,Andaman and Nicobar Islands,Doctor,policy3,Mobile App,policy3,Group,Mail,In-Person Meeting,Weekends,French,1
459,23,Female,Single,995.4805157,1/30/2025,42998.9,1591.571,Doctorate,Madhya Pradesh,Entrepreneur,policy5,Phone,policy2,Family,Text,Text,Anytime,Spanish,1
460,30,Female,Single,2656.167256,8/30/2023,19771.8,728.343,Master's Degree,Chhattisgarh,Entrepreneur,policy5,In-Person,policy2,Group,Mail,Phone,Evening,English,1
462,23,Male,Married,1912.563323,11/27/2023,8995.4,389.96,Associate Degree,Meghalaya,Artist,policy1,Email,policy2,Family,Text,Email,Afternoon,Mandarin,1
471,20,Female,Married,2173.770495,4/30/2022,16845.1,623.311,High School Diploma,Sikkim,Teacher,policy1,In-Person,policy2,Individual,Text,Email,Morning,Mandarin,1
482,25,Male,Single,2037.219658,4/25/2022,35152.8,1434.224,Master's Degree,Sikkim,Doctor,policy5,Chat,policy2,Individual,Text,In-Person Meeting,Weekends,Spanish,1
486,21,Male,Single,2125.165052,8/8/2023,15578.7,683.02,High School Diploma,Himachal Pradesh,Lawyer,policy1,Mobile App,policy4,Business,Mail,In-Person Meeting,Anytime,Mandarin,1
488,28,Male,Single,2202.356092,5/17/2024,16363.2,568.635,Doctorate,Telangana,Nurse,policy2,Phone,policy5,Business,Email,In-Person Meeting,Morning,French,1
499,20,Male,Married,1372.676557,4/5/2023,41180.1,1360.611,High School Diploma,Uttar Pradesh,Salesperson,policy3,Email,policy2,Group,Email,Email,Afternoon,German,1
500,23,Male,Single,1875.057786,7/18/2022,48634.1,2066.622,Bachelor's Degree,Bihar,Manager,policy3,Phone,policy3,Family,Email,Mail,Morning,French,1
505,24,Male,Married,1927.853978,12/3/2024,26309,933.054,Master's Degree,Andaman and Nicobar Islands,Nurse,policy5,Mobile App,policy4,Individual,Phone,Email,Afternoon,German,1
508,22,Male,Married,1841.711868,3/10/2024,39089.6,1865.828,Doctorate,Kerala,Teacher,policy4,Chat,policy4,Business,Text,Mail,Morning,German,1
513,25,Male,Married,1418.605332,4/25/2022,16285.9,774.382,Associate Degree,Madhya Pradesh,Nurse,policy2,Chat,policy5,Family,Mail,Phone,Evening,Spanish,1
521,30,Female,Single,2958.031643,2/29/2024,17015.1,679.07,Associate Degree,Nagaland,Entrepreneur,policy1,Chat,policy4,Business,Phone,Phone,Weekends,German,1
526,20,Female,Married,1266.435736,11/5/2023,44294.2,1567.793,Master's Degree,Karnataka,Artist,policy3,Mobile App,policy3,Individual,Text,Text,Morning,German,1
527,32,Female,Single,1861.806939,10/17/2022,9109,292.237,Doctorate,Uttar Pradesh,Salesperson,policy1,Email,policy4,Business,Phone,In-Person Meeting,Weekends,French,1
529,23,Male,Married,1791.049573,6/11/2023,7015.9,253.45,Bachelor's Degree,Andaman and Nicobar Islands,Engineer,policy5,In-Person,policy1,Group,Phone,In-Person Meeting,Anytime,German,1
542,26,Female,Single,1519.174664,3/29/2024,18619.4,711.226,Bachelor's Degree,Chandigarh,Doctor,policy3,In-Person,policy4,Business,In-Person Meeting,Email,Evening,German,1
544,25,Male,Married,1890.91185,11/11/2023,5449.9,198.77,Doctorate,West Bengal,Salesperson,policy1,Phone,policy2,Business,Mail,In-Person Meeting,Evening,French,1
546,22,Female,Single,2287.110013,3/18/2025,18376.7,804.312,High School Diploma,West Bengal,Artist,policy3,Email,policy4,Individual,Mail,Email,Afternoon,German,1
549,29,Male,Single,2919.929152,12/23/2024,28806.7,999.386,High School Diploma,Odisha,Lawyer,policy5,Chat,policy1,Group,Mail,Email,Weekends,German,1
554,19,Female,Married,1592.691179,10/10/2024,40060.5,1918.25,Bachelor's Degree,Gujarat,Entrepreneur,policy2,Email,policy2,Business,Mail,In-Person Meeting,Morning,English,1
560,30,Female,Single,914.75265,12/19/2023,42503.7,1769.999,Associate Degree,Dadra and Nagar Haveli,Entrepreneur,policy3,In-Person,policy4,Business,In-Person Meeting,Mail,Evening,German,1
561,28,Male,Married,2045.5581,2/14/2025,15038.6,571.113,Bachelor's Degree,Uttar Pradesh,Entrepreneur,policy2,In-Person,policy2,Group,Text,In-Person Meeting,Morning,French,1
564,35,Female,Married,1975.669561,2/11/2024,29330.7,1312.597,Doctorate,Sikkim,Engineer,policy4,Chat,policy5,Individual,Email,Phone,Morning,Spanish,1
565,32,Female,Single,1599.206997,9/22/2024,18450.8,599.72,Associate Degree,West Bengal,Entrepreneur,policy2,In-Person,policy5,Group,Phone,Email,Weekends,French,1
570,27,Male,Separated,2079.909183,5/31/2023,36683.7,1430.936,Associate Degree,Rajasthan,Doctor,policy5,In-Person,policy3,Individual,Mail,Email,Afternoon,French,1
574,34,Male,Married,837.4458915,4/28/2023,30893,1412.213,Master's Degree,Madhya Pradesh,Manager,policy4,Mobile App,policy3,Group,Phone,In-Person Meeting,Evening,German,1
576,34,Male,Single,2064.227845,6/4/2024,14525.7,580.521,Associate Degree,Daman and Diu,Entrepreneur,policy5,Email,policy1,Group,Phone,Text,Evening,English,1
585,30,Female,Single,1413.093887,10/8/2022,21631.9,1057.633,Master's Degree,Bihar,Nurse,policy5,Phone,policy2,Family,Text,In-Person Meeting,Anytime,French,1
591,24,Female,Single,2245.324283,6/7/2022,24596.7,1053.709,Associate Degree,Maharashtra,Engineer,policy2,In-Person,policy3,Group,Phone,Email,Morning,English,1
593,25,Female,Single,2307.393037,4/16/2024,35291.8,1111.789,Associate Degree,Tamil Nadu,Entrepreneur,policy5,Mobile App,policy4,Group,Phone,Phone,Morning,English,1
612,20,Female,Single,2181.225525,10/5/2023,24477.6,749.594,Doctorate,Goa,Manager,policy3,Mobile App,policy5,Business,Text,In-Person Meeting,Afternoon,French,1
614,30,Female,Single,1451.934104,7/3/2022,15894,597.546,Associate Degree,Uttarakhand,Engineer,policy3,Mobile App,policy1,Group,Mail,Email,Weekends,French,1
617,23,Female,Single,2135.789081,6/21/2023,9423.8,406.444,Bachelor's Degree,Andaman and Nicobar Islands,Doctor,policy2,In-Person,policy1,Group,Email,In-Person Meeting,Weekends,German,1
622,29,Female,Single,1920.512481,7/22/2023,19270.9,616.352,Associate Degree,Tamil Nadu,Doctor,policy3,Mobile App,policy1,Individual,Phone,Mail,Morning,Spanish,1
641,21,Male,Separated,1382.130626,12/13/2023,11069.2,509.853,Associate Degree,Madhya Pradesh,Salesperson,policy2,Email,policy5,Individual,Mail,Mail,Morning,Mandarin,1
643,32,Female,Single,1409.536028,7/18/2024,43302.9,1966.305,Master's Degree,Telangana,Doctor,policy1,Phone,policy2,Family,Mail,In-Person Meeting,Afternoon,German,1
650,30,Male,Single,1665.490941,10/19/2023,17998.1,676.618,Doctorate,Gujarat,Engineer,policy3,In-Person,policy2,Family,Text,Email,Afternoon,Mandarin,1
655,19,Male,Married,2402.799843,7/2/2024,19220.2,843.822,Doctorate,Haryana,Nurse,policy5,Mobile App,policy5,Group,Email,Text,Evening,German,1
657,25,Male,Married,1970.291104,8/19/2022,7362.4,234.565,Master's Degree,Assam,Artist,policy3,Email,policy3,Group,Phone,Phone,Weekends,French,1
665,23,Female,Single,1855.928675,7/13/2023,15955.6,723.833,Master's Degree,Arunachal Pradesh,Artist,policy1,Mobile App,policy2,Family,Email,Text,Weekends,French,1
674,29,Male,Single,857.7225815,4/20/2024,30917.8,1158.372,Associate Degree,Mizoram,Engineer,policy1,In-Person,policy1,Individual,Mail,In-Person Meeting,Weekends,French,1
685,29,Female,Single,1789.877669,11/8/2022,10129.3,500.37,Doctorate,Dadra and Nagar Haveli,Salesperson,policy2,Email,policy4,Group,Email,Mail,Anytime,German,1
697,24,Male,Married,2260.178547,7/5/2023,10252.8,335.301,Bachelor's Degree,Gujarat,Lawyer,policy5,In-Person,policy5,Business,Mail,Email,Evening,French,1
699,24,Female,Married,1288.842338,8/7/2022,40557,2026.174,Master's Degree,Maharashtra,Lawyer,policy4,Email,policy5,Group,Email,Phone,Afternoon,English,1
