Income,Credit_History,Outstanding_Balance,Employment,Repay_Loan
48919.85,0.32,20071.78,Employed,1
65052.99,0.1,0.0,Self-Employed,1
55424.54,0.36,21604.9,Employed,1
40323.2,0.27,42125.31,Employed,0
55420.93,0.84,16399.61,Employed,1
73070.55,0.31,12719.23,Employed,1
49462.61,0.79,23733.49,Self-Employed,1
73469.65,0.89,23123.78,Employed,1
20000.0,0.43,31927.35,Employed,0
62328.54,0.91,7421.32,Employed,1
51305.71,0.38,27313.8,Self-Employed,0
45514.89,0.96,25904.22,Employed,1
51376.41,0.09,18578.53,Self-Employed,1
20186.47,0.69,23386.87,Employed,1
46704.92,0.49,30294.57,Employed,1
55356.69,0.39,28723.15,Employed,1
72168.41,0.63,8569.81,Employed,1
42225.95,0.7,28201.58,Self-Employed,0
37872.6,0.0,19353.11,Employed,1
42473.64,0.17,20728.74,Self-Employed,1
63731.03,0.71,20731.97,Employed,1
54931.27,0.67,18497.57,Employed,1
42053.6,0.97,31917.07,Unemployed,0
57699.01,0.76,19162.82,Self-Employed,1
51456.16,0.95,8804.54,Employed,1
64529.67,0.7,16064.7,Employed,1
39469.2,0.3,21786.95,Employed,1
45085.07,0.11,32292.15,Employed,0
44118.38,0.78,26030.95,Self-Employed,1
28047.28,0.64,11494.65,Self-Employed,1
54441.8,0.05,44851.9,Employed,0
53915.83,0.36,22647.75,Unemployed,0
50076.7,0.96,32753.91,Employed,1
46481.19,0.5,18482.86,Employed,1
28769.44,0.43,25333.59,Employed,0
43690.32,0.46,28394.69,Employed,0
44859.28,0.21,32181.95,Employed,1
37965.84,0.37,30573.68,Employed,0
47580.71,0.37,28721.97,Employed,0
56060.76,0.05,16849.13,Employed,1
78292.79,0.77,14282.54,Self-Employed,1
52618.67,0.42,23326.08,Employed,1
53863.26,0.82,29331.28,Employed,1
48883.31,0.85,17772.79,Self-Employed,1
21218.43,0.21,30651.72,Unemployed,0
49602.29,0.66,34526.17,Unemployed,0
50903.45,0.47,10836.79,Employed,1
86948.63,0.88,11630.79,Employed,1
47114.59,0.22,18596.25,Employed,1
54523.21,0.68,23076.13,Employed,1
49479.32,0.61,14754.33,Unemployed,1
32469.83,0.3,33522.03,Employed,0
67142.34,0.14,24240.67,Employed,1
61279.0,0.65,20394.47,Employed,1
61865.48,0.74,5640.9,Employed,1
36359.19,0.32,6841.84,Self-Employed,1
71041.91,0.64,22810.09,Employed,1
28972.23,0.4,0.0,Employed,1
58802.86,0.71,30126.37,Employed,1
82856.83,0.2,18418.46,Employed,1
35141.96,0.89,52430.93,Employed,0
41505.53,0.29,43079.16,Employed,0
51494.77,0.37,18185.51,Employed,1
42447.87,0.06,18936.63,Self-Employed,0
26740.05,0.11,29955.82,Unemployed,0
51028.44,0.52,37031.73,Unemployed,0
34065.44,0.27,3619.71,Unemployed,1
57103.89,0.84,2136.25,Employed,1
36208.64,0.01,13779.65,Employed,1
73249.02,0.38,25827.38,Employed,1
38251.2,0.34,24968.74,Self-Employed,0
45169.08,0.02,30697.71,Unemployed,0
62202.76,0.12,8003.02,Self-Employed,1
31537.04,0.41,0.0,Employed,1
53411.9,0.49,28580.14,Unemployed,1
69607.14,0.4,11718.04,Employed,1
25887.75,0.53,0.0,Employed,1
52769.51,0.6,21450.64,Employed,1
53898.24,0.01,27931.76,Employed,0
61727.34,0.46,18779.43,Employed,1
31445.74,0.96,15421.52,Employed,1
30193.15,0.52,18406.38,Employed,1
57829.12,0.68,16294.17,Employed,1
54454.77,0.31,6519.53,Self-Employed,1
53757.39,0.77,12853.19,Employed,1
55196.72,0.77,25212.8,Employed,1
39799.63,0.52,23216.79,Self-Employed,1
53483.81,0.98,21680.6,Unemployed,1
54396.09,0.13,10048.52,Employed,1
39284.73,0.02,18184.97,Employed,1
77986.62,0.77,0.0,Employed,1
57107.49,0.81,21784.77,Employed,1
32130.45,0.12,34288.58,Employed,0
59848.3,0.27,5258.68,Self-Employed,1
35379.77,0.02,14140.72,Employed,1
61806.27,0.29,23291.07,Self-Employed,1
67378.93,0.77,32528.43,Self-Employed,1
37689.77,0.52,15517.75,Unemployed,1
64450.64,0.35,13077.5,Employed,1
56191.71,0.37,310.77,Unemployed,1
62330.9,0.0,21034.38,Employed,1
78451.89,0.3,40420.76,Employed,1
46319.18,0.65,22773.58,Employed,1
38693.96,0.97,19777.21,Employed,1
36657.28,0.85,23220.82,Self-Employed,1
37762.85,0.02,19889.08,Employed,1
48843.47,0.9,11869.86,Employed,1
55117.28,0.78,28232.8,Employed,1
54150.36,0.78,22257.62,Employed,1
62407.75,0.46,20176.13,Employed,1
50195.03,0.4,10246.34,Self-Employed,1
71803.01,0.3,33035.08,Employed,1
46030.15,0.07,26647.03,Employed,1
90802.54,0.23,14470.79,Employed,1
59385.01,0.25,30018.25,Employed,1
37142.64,0.48,15024.29,Employed,1
33936.61,0.75,12179.97,Employed,1
57237.09,0.47,12402.97,Unemployed,1
46648.06,0.06,2289.31,Employed,1
60710.01,0.96,24715.42,Employed,1
57098.56,0.94,1688.55,Employed,1
48907.57,0.79,7715.56,Self-Employed,1
37298.09,0.99,0.0,Employed,1
27277.29,0.54,19139.3,Employed,1
43302.28,0.96,18496.8,Self-Employed,1
62845.98,0.08,16733.04,Employed,1
53211.41,0.37,9574.22,Employed,1
31313.92,0.23,8277.66,Employed,1
52597.71,0.2,24643.7,Employed,1
55779.76,0.14,14494.48,Employed,1
36742.14,0.62,23163.58,Employed,1
52305.88,0.78,11147.51,Employed,1
50873.13,0.58,21810.63,Employed,1
32855.45,0.15,33032.78,Employed,0
55366.81,0.81,25861.66,Unemployed,1
58411.77,0.64,15875.86,Self-Employed,1
66245.77,0.39,22571.99,Self-Employed,1
65807.03,0.67,17593.35,Employed,1
29334.96,0.26,20078.8,Employed,1
35932.62,0.35,16743.89,Employed,1
57725.53,0.92,18356.65,Employed,1
57706.79,0.29,22120.93,Unemployed,0
57725.72,0.47,10066.41,Employed,1
107790.97,0.89,9841.21,Employed,1
58563.36,0.71,6114.57,Employed,1
67033.48,0.06,3997.29,Employed,1
64310.03,0.15,7827.17,Employed,1
59770.87,0.01,21594.63,Employed,1
45270.96,0.63,11072.12,Employed,1
61384.54,0.45,25136.14,Self-Employed,1
38407.62,0.13,20347.14,Employed,1
46447.72,0.96,314.96,Unemployed,1
42719.55,0.53,26549.76,Self-Employed,1
51228.11,0.24,28107.99,Employed,1
84719.88,0.5,10061.37,Self-Employed,1
21991.02,0.68,24201.92,Employed,1
60293.9,0.08,11435.02,Unemployed,1
25809.26,0.27,20976.7,Employed,1
42921.02,0.81,7355.02,Employed,1
66334.26,0.46,2068.94,Employed,1
50964.2,0.55,16171.83,Employed,1
33833.83,0.43,18762.71,Unemployed,0
39270.44,0.04,16023.2,Employed,1
60193.97,0.17,8159.69,Employed,1
39044.5,0.45,16001.01,Employed,1
53246.88,0.21,22692.95,Unemployed,0
50683.58,0.05,19551.07,Employed,1
40225.99,0.84,21825.01,Employed,1
82159.16,0.98,13298.85,Employed,1
59508.79,0.79,31717.18,Self-Employed,1
20000.0,0.85,8238.27,Employed,1
52796.81,0.24,24875.6,Employed,0
40073.2,0.96,31818.91,Employed,1
62786.5,0.2,24809.08,Self-Employed,1
38112.19,0.95,17974.76,Employed,1
48278.95,0.99,14717.03,Employed,1
57574.81,0.71,30360.88,Employed,1
62986.33,0.98,5770.25,Self-Employed,1
31995.55,0.57,10298.76,Unemployed,1
44982.48,0.26,16024.42,Employed,1
42875.82,0.44,32376.54,Employed,1
40200.06,0.59,23797.68,Employed,1
76481.81,0.07,10319.54,Employed,1
56074.73,0.62,16896.92,Employed,1
31086.74,0.98,13856.77,Employed,1
63767.93,0.19,12902.11,Employed,1
81832.34,0.79,29788.9,Unemployed,1
65486.98,0.91,6282.57,Employed,1
27209.45,0.94,36087.81,Employed,1
42736.49,0.96,28282.3,Employed,1
69003.67,0.52,30908.62,Employed,1
39384.96,0.98,15370.6,Employed,0
56657.29,0.76,18500.59,Employed,1
61619.51,0.16,5668.48,Employed,1
36096.04,0.48,14753.38,Self-Employed,1
49107.12,0.72,24936.55,Unemployed,0
20000.0,0.25,32960.63,Employed,0
34634.19,0.64,8928.43,Employed,1
46211.48,0.67,16344.94,Employed,1
31283.25,0.16,18487.01,Employed,1
74486.17,0.57,6042.11,Employed,1
28547.88,0.77,25913.49,Self-Employed,0
43399.33,0.5,12760.1,Unemployed,1
51961.11,0.01,18046.1,Unemployed,1
71619.1,0.01,15480.51,Employed,1
28462.07,0.36,12106.61,Self-Employed,1
67447.46,0.93,19929.55,Self-Employed,1
50153.5,0.23,17843.9,Employed,1
35277.37,0.63,16281.42,Employed,1
56931.55,0.22,12715.38,Self-Employed,1
52985.9,0.32,23195.25,Employed,1
40996.75,0.85,36536.17,Employed,1
51047.03,0.73,21398.87,Employed,1
44220.3,0.1,29961.18,Employed,1
51702.76,0.43,6097.78,Employed,1
59931.96,0.03,21577.61,Unemployed,1
73790.25,0.48,9026.32,Employed,1
31432.77,0.66,5230.75,Employed,1
81995.5,0.12,12606.29,Employed,1
20718.68,0.29,31918.99,Employed,0
47723.22,0.4,29500.16,Employed,1
58824.76,0.92,22430.05,Employed,1
54214.88,0.99,4672.99,Employed,1
40659.51,0.04,18037.19,Employed,1
46878.17,0.76,23017.0,Employed,1
42604.99,0.37,21755.36,Employed,1
41159.53,0.39,1562.06,Employed,1
62744.03,0.75,11096.82,Employed,1
55355.23,0.92,19359.22,Unemployed,1
39606.36,0.95,25362.91,Employed,1
63494.0,0.58,0.0,Employed,1
54609.49,0.36,18378.76,Employed,1
62192.93,0.79,21430.49,Employed,1
59444.43,0.25,28496.12,Unemployed,0
37565.07,0.56,26928.58,Employed,1
41597.28,0.36,25825.71,Employed,1
61209.4,0.66,12000.59,Employed,1
59155.55,0.24,919.98,Employed,1
49686.48,0.19,16069.47,Self-Employed,1
51759.91,0.92,30016.32,Employed,1
69164.97,0.1,33934.55,Employed,1
41126.43,0.51,27105.49,Employed,1
58206.46,0.22,24293.41,Employed,1
46967.11,0.04,23796.4,Self-Employed,1
46734.78,0.04,14438.81,Employed,1
66481.65,0.18,18699.4,Employed,1
62381.25,0.87,36690.7,Employed,1
62202.64,0.28,10574.42,Employed,1
69582.18,0.95,36147.79,Employed,1
50315.06,0.58,16779.72,Employed,1
60229.29,0.44,33254.32,Employed,1
45346.0,0.58,5931.85,Employed,1
54862.5,0.52,25859.04,Employed,1
48047.85,0.76,12632.3,Unemployed,1
51454.94,0.28,5847.33,Employed,1
58927.36,0.35,22185.34,Employed,1
37726.69,0.89,30094.72,Employed,1
81385.81,0.95,11550.59,Employed,1
34909.74,0.89,5009.84,Employed,1
31787.17,0.42,19081.55,Self-Employed,1
67371.66,0.78,19125.65,Employed,1
61874.94,0.48,25483.2,Employed,1
59361.8,0.5,29495.95,Employed,1
59425.18,0.2,19405.85,Employed,1
49816.3,0.59,38555.03,Employed,0
36541.18,0.19,22242.35,Self-Employed,1
51137.07,0.33,16535.73,Employed,1
39842.57,0.86,3884.33,Employed,1
64626.8,0.21,17373.4,Employed,1
47794.14,0.07,16636.13,Employed,1
37617.54,0.07,29603.05,Employed,1
45179.21,0.94,24624.84,Employed,1
56193.97,0.51,8206.31,Employed,1
41544.13,0.41,21722.54,Employed,1
37666.69,0.81,26715.31,Employed,1
53655.31,0.84,35280.31,Employed,1
53674.5,0.33,28875.04,Employed,1
42395.85,0.69,27608.47,Employed,1
42934.43,0.77,20600.86,Employed,1
53480.75,0.65,23883.12,Employed,1
28278.73,0.15,32495.05,Employed,0
28888.04,0.88,6672.23,Self-Employed,1
39223.34,0.54,16505.61,Employed,1
46798.29,0.28,12274.31,Employed,1
54663.61,0.43,23791.53,Employed,1
72130.34,0.04,32302.22,Employed,1
62864.89,0.13,14030.26,Employed,1
47600.92,0.77,0.0,Employed,1
49714.76,0.0,15877.79,Employed,1
34962.06,0.42,29134.74,Employed,0
49722.3,0.52,25376.3,Employed,1
45670.12,0.05,24281.86,Self-Employed,1
54840.78,0.97,17200.07,Employed,1
37591.54,0.23,7209.69,Employed,1
57790.2,0.3,25152.94,Employed,1
72991.08,0.3,11657.18,Employed,1
48368.6,0.23,41840.97,Employed,0
56025.68,0.0,25705.07,Employed,1
60352.16,0.73,14193.52,Employed,1
43981.69,0.97,13886.15,Employed,1
53361.39,0.22,19070.56,Self-Employed,1
50188.89,0.66,17604.98,Unemployed,1
51465.14,0.74,31168.34,Employed,1
38404.85,0.85,21864.16,Employed,1
50367.65,0.42,12683.68,Employed,1
57469.97,0.3,38904.41,Employed,0
71767.15,0.33,20493.08,Employed,1
64389.06,0.71,27688.4,Employed,1
82297.74,0.82,13917.73,Unemployed,1
38489.79,0.18,23631.16,Employed,1
63084.81,0.37,23111.1,Employed,1
52750.13,0.9,1103.51,Employed,1
82847.04,0.81,40152.75,Self-Employed,1
37875.53,0.98,32906.44,Employed,0
37404.17,0.75,16028.05,Employed,1
41009.11,0.39,8977.3,Employed,1
20000.0,0.59,23475.62,Self-Employed,0
42113.67,0.66,20866.98,Employed,1
38613.01,0.08,23556.69,Self-Employed,1
52255.91,0.54,21915.77,Employed,1
55126.34,0.71,25062.41,Employed,1
78142.56,0.17,34473.06,Employed,1
64256.36,0.78,25681.03,Employed,1
41346.45,0.58,9503.45,Employed,1
36523.78,0.95,33625.63,Self-Employed,1
57378.79,0.04,36406.15,Employed,0
30196.5,0.27,51520.57,Employed,0
77471.88,0.6,8765.06,Employed,1
67691.6,0.3,22428.82,Employed,1
42962.37,0.71,0.0,Employed,1
24302.98,0.76,25531.49,Employed,0
70308.09,0.1,14518.0,Employed,1
48281.9,0.51,39234.46,Employed,0
68567.24,0.51,12253.85,Unemployed,1
26083.59,0.37,3108.17,Employed,1
41009.37,0.93,15287.36,Self-Employed,1
50078.66,0.83,245.12,Employed,1
50704.71,0.7,27510.99,Employed,1
43249.02,0.71,0.0,Employed,1
59342.75,0.46,20284.58,Employed,1
33985.69,0.92,0.0,Self-Employed,1
47864.31,0.69,16797.02,Employed,1
51804.43,0.73,36433.78,Employed,1
57716.58,0.86,23606.48,Self-Employed,1
60674.22,0.27,11365.06,Employed,1
33130.37,0.81,19687.97,Employed,1
26988.29,0.2,20180.17,Employed,1
69165.15,0.35,24726.3,Self-Employed,1
54984.71,0.34,6331.42,Employed,1
38772.7,0.98,25925.67,Employed,1
73267.28,0.86,0.0,Employed,1
51735.12,0.7,13701.15,Unemployed,1
67689.46,0.73,15117.26,Employed,1
51012.78,0.56,26333.27,Employed,1
80911.22,0.95,20226.31,Employed,1
76330.11,0.5,5944.37,Unemployed,1
46265.54,0.38,10150.07,Self-Employed,1
64573.56,0.16,21986.8,Unemployed,1
59680.64,0.79,19209.33,Employed,1
70529.47,0.73,14208.76,Employed,1
35526.15,0.38,15191.66,Employed,1
60290.77,0.03,26961.68,Self-Employed,1
65876.37,0.84,14823.07,Employed,1
23618.91,0.01,19119.09,Employed,1
32251.12,0.7,41699.37,Self-Employed,0
20000.0,0.97,5763.17,Employed,1
45958.9,0.44,1481.57,Employed,1
60763.13,0.23,27835.9,Employed,1
72535.36,0.7,13213.57,Employed,1
51111.42,0.82,16817.62,Self-Employed,1
74429.23,0.55,12188.44,Employed,1
29298.48,0.97,17402.0,Employed,1
24449.26,0.05,35985.38,Employed,0
49166.78,0.5,28021.28,Employed,1
55760.98,0.72,28622.24,Employed,0
49509.58,0.86,5837.73,Employed,1
20000.0,0.18,8488.46,Employed,1
48663.2,0.8,0.0,Employed,1
30432.96,0.55,11906.19,Employed,1
60045.09,0.4,29567.03,Employed,1
55498.97,0.13,25169.47,Self-Employed,1
35901.8,0.87,17784.87,Self-Employed,1
42292.0,0.16,19777.0,Self-Employed,1
34111.8,0.31,13111.14,Employed,1
49059.81,0.29,22047.59,Employed,1
64327.13,0.87,27658.78,Employed,1
35214.11,0.67,3841.13,Employed,1
57560.7,0.8,22996.48,Employed,1
42046.14,0.25,29324.35,Employed,1
38106.91,0.62,15849.0,Unemployed,1
48394.54,0.57,27007.01,Employed,1
34471.37,0.83,48146.54,Employed,0
41695.26,0.91,18956.57,Self-Employed,1
32031.83,0.01,23933.07,Employed,0
79470.88,0.67,12619.43,Self-Employed,1
50528.95,0.05,21812.51,Self-Employed,0
39504.12,0.55,24602.72,Unemployed,0
53209.7,0.29,21948.42,Employed,0
48315.08,0.31,9803.05,Employed,1
46685.46,0.35,22063.62,Employed,1
59212.5,0.62,34621.96,Employed,1
61362.62,0.33,24486.36,Employed,1
42042.48,0.73,29619.87,Employed,1
41362.73,0.4,17629.88,Employed,1
45874.22,0.07,27499.0,Employed,0
20000.0,0.78,22792.68,Self-Employed,0
27272.13,0.29,10490.89,Self-Employed,1
70503.11,0.43,23185.21,Employed,1
74674.52,0.69,10083.03,Employed,1
46264.46,0.33,13671.2,Self-Employed,1
58648.35,0.06,21893.28,Employed,1
54668.75,0.37,22972.44,Self-Employed,1
96183.21,0.94,8107.68,Unemployed,1
66793.62,0.64,30539.86,Employed,1
48081.24,0.67,25720.06,Self-Employed,1
35666.89,0.63,12952.72,Employed,1
25903.31,0.2,4624.15,Employed,1
53051.95,0.42,18550.95,Employed,1
38654.74,0.75,15540.56,Employed,1
28666.19,0.1,21131.4,Self-Employed,0
40301.41,0.28,16368.83,Employed,1
33776.78,0.28,0.0,Employed,1
75307.12,0.43,16116.53,Employed,1
63224.6,0.98,16943.81,Self-Employed,1
49880.41,0.07,26336.61,Unemployed,0
72199.16,0.52,13018.0,Self-Employed,1
51160.52,0.18,36786.75,Employed,0
37080.74,0.97,883.59,Employed,1
72846.86,0.11,33111.67,Employed,1
58083.65,0.4,17756.81,Employed,1
34441.31,0.74,28595.85,Employed,0
47144.92,0.7,20798.01,Employed,1
36865.73,0.42,31395.56,Employed,0
29258.0,0.35,16126.38,Self-Employed,1
63892.66,0.4,9013.8,Employed,1
78641.25,0.26,34205.04,Employed,1
29021.49,0.21,18865.19,Employed,1
58444.54,0.48,22215.58,Self-Employed,1
40240.36,0.27,32347.52,Self-Employed,0
42693.12,0.29,9680.45,Self-Employed,1
41114.09,0.66,25954.91,Employed,1
37040.14,0.97,14101.05,Unemployed,1
50727.82,0.6,18678.31,Employed,1
37535.75,0.08,20722.79,Employed,1
54056.85,0.08,4997.78,Unemployed,1
49246.43,0.95,12211.63,Employed,1
46415.78,0.3,33510.73,Employed,0
36386.55,0.09,28861.91,Employed,1
41348.43,0.6,19373.6,Employed,1
61330.87,0.62,22431.23,Unemployed,1
57513.76,0.65,17057.57,Employed,1
35336.67,0.27,33565.83,Employed,0
51489.98,0.02,17996.47,Employed,1
61270.81,0.97,22318.42,Employed,1
24958.92,0.25,31460.3,Employed,0
58150.4,0.68,12226.29,Employed,1
40060.64,0.71,35587.89,Employed,0
58558.98,0.61,4695.39,Employed,1
38551.11,0.31,36296.42,Unemployed,0
22926.77,0.27,16273.24,Employed,1
25586.86,0.6,17573.01,Employed,0
50721.27,0.87,1099.9,Employed,1
53895.84,0.95,15452.05,Employed,1
36435.25,0.11,9601.93,Self-Employed,0
59578.89,0.15,13923.54,Unemployed,1
25077.2,0.94,18626.89,Employed,1
49008.8,0.74,29577.92,Self-Employed,1
31834.76,0.88,22076.03,Employed,1
40222.46,0.2,23076.77,Employed,1
50710.98,0.59,9044.81,Employed,1
37093.8,0.7,11192.46,Employed,1
44231.67,0.68,37987.25,Employed,0
65094.39,0.41,12647.99,Self-Employed,1
41346.62,0.02,36562.08,Employed,0
62535.38,0.58,17569.39,Unemployed,1
33054.4,0.25,20022.88,Self-Employed,1
57947.06,0.45,30703.65,Employed,1
71623.53,0.96,32718.92,Employed,1
20000.0,0.4,18891.87,Employed,1
38046.57,0.84,16117.57,Unemployed,1
58656.08,0.19,19440.8,Employed,1
46954.32,0.67,23379.58,Employed,1
55567.19,0.98,28913.04,Employed,1
40940.22,0.1,20042.3,Employed,1
51298.85,0.01,26188.86,Employed,1
47664.84,0.43,36383.6,Employed,0
67516.73,0.09,23813.1,Employed,1
53816.31,0.75,23116.53,Employed,1
55064.04,0.91,4810.89,Employed,1
43821.85,0.43,0.0,Employed,1
42685.91,0.26,23883.76,Employed,1
43511.63,0.43,19051.76,Employed,1
55916.78,0.72,14852.17,Employed,1
43685.23,0.01,22435.3,Employed,1
54346.62,0.59,19395.96,Employed,1
81131.01,0.61,31277.8,Employed,1
63066.87,0.64,20861.11,Employed,1
45109.65,0.24,12530.77,Employed,1
68018.21,0.71,29901.66,Employed,1
43878.87,0.09,17828.69,Self-Employed,1
20000.0,0.2,25265.37,Self-Employed,0
34878.71,0.88,15225.89,Self-Employed,1
21938.12,0.74,13501.73,Self-Employed,0
44727.3,0.01,20841.68,Employed,1
50276.28,0.25,20128.29,Employed,1
75146.56,0.21,24798.27,Employed,1
54903.91,0.27,17313.54,Employed,1
46713.49,0.25,1636.4,Employed,1
62441.08,0.06,15672.26,Self-Employed,1
20000.0,0.46,27938.18,Employed,0
53534.22,0.73,17026.24,Employed,1
61562.98,0.61,17536.17,Employed,1
27821.21,0.67,29863.77,Employed,0
67156.31,0.08,12880.27,Employed,1
55077.45,0.95,4571.97,Self-Employed,1
43770.68,0.84,18393.69,Employed,1
59491.73,0.81,15158.26,Self-Employed,1
84060.39,0.82,10337.54,Employed,1
52727.99,0.93,18246.22,Self-Employed,1
53723.31,0.54,24915.06,Employed,1
43109.59,0.2,19907.11,Employed,1
37252.33,0.62,23069.81,Employed,1
62455.04,0.74,38134.08,Self-Employed,0
37158.74,0.74,16571.21,Unemployed,1
51073.49,0.52,22783.49,Employed,1
42835.14,0.07,14907.87,Employed,1
57184.7,0.37,11536.4,Unemployed,1
55004.93,0.92,14150.92,Employed,1
65563.1,0.58,15212.41,Employed,1
42349.75,0.54,23594.76,Employed,1
45951.88,0.27,43490.76,Employed,0
35318.54,0.37,12839.57,Self-Employed,1
43335.6,0.9,15833.75,Self-Employed,1
55659.51,0.67,19368.77,Employed,1
61354.83,0.79,23957.99,Employed,1
36167.52,0.45,22635.51,Self-Employed,0
63044.09,0.63,32840.96,Employed,0
70334.57,0.25,0.0,Self-Employed,1
56201.52,0.71,0.0,Employed,1
78151.94,0.43,15041.22,Employed,1
38393.16,0.44,30973.0,Unemployed,0
31330.18,0.65,4343.52,Employed,1
23319.2,0.94,0.0,Employed,1
72440.66,0.06,25711.79,Employed,1
59815.48,0.82,22436.57,Employed,1
49166.23,0.29,9097.92,Employed,1
54199.53,0.44,10144.6,Unemployed,1
33117.66,0.02,10302.56,Self-Employed,1
86686.28,0.3,21105.35,Employed,1
51938.32,0.5,13736.85,Employed,1
51640.92,0.06,24940.64,Employed,1
60886.5,0.49,0.0,Employed,1
57215.14,0.93,11431.48,Employed,1
53358.26,0.11,8739.46,Self-Employed,1
38142.88,0.76,17436.59,Employed,1
57072.03,0.41,14619.52,Self-Employed,1
78230.37,0.66,27978.44,Employed,1
70181.3,0.26,1406.63,Employed,1
73897.8,0.16,20454.91,Employed,1
42331.76,0.16,25583.36,Employed,1
35155.93,0.07,38566.47,Employed,0
48113.2,0.19,15182.34,Unemployed,1
50835.87,0.66,23244.59,Employed,1
66412.87,0.88,1961.37,Unemployed,1
24613.03,0.81,0.0,Employed,1
72943.25,0.69,28447.74,Unemployed,1
47629.88,0.11,19944.4,Employed,1
43596.78,0.29,31785.13,Unemployed,0
34818.43,0.31,6265.97,Employed,1
25177.15,0.25,25199.02,Self-Employed,0
62347.56,0.52,38688.18,Unemployed,0
51099.77,0.54,24197.06,Employed,0
30650.59,0.36,22765.82,Employed,0
30573.82,0.35,20085.56,Employed,1
44963.23,0.83,4291.19,Unemployed,1
75035.32,0.79,33555.73,Employed,1
46106.13,0.31,13891.42,Employed,1
27452.86,0.91,25044.83,Employed,1
46313.85,0.95,4369.66,Employed,1
45909.15,0.33,8205.4,Self-Employed,1
20000.0,0.35,34350.87,Employed,0
49185.58,0.51,16526.98,Employed,1
46535.98,0.94,34532.75,Unemployed,1
60443.1,0.88,19217.69,Employed,1
77734.34,0.1,1581.02,Employed,1
66898.48,0.39,28920.68,Employed,1
45966.67,0.55,14101.08,Employed,1
33402.11,0.5,26986.89,Employed,1
88600.4,0.19,20252.11,Self-Employed,1
50888.28,0.86,4568.82,Employed,1
50208.94,0.68,21642.95,Employed,1
49638.12,0.84,41962.23,Employed,0
52971.27,0.86,24929.86,Employed,1
47834.59,0.75,19424.82,Self-Employed,1
41395.07,0.44,30753.43,Employed,1
41797.12,0.61,22106.68,Employed,0
49508.7,0.16,22095.34,Employed,1
41848.63,0.67,9083.75,Employed,1
39307.31,0.18,22338.48,Employed,1
51596.45,0.69,30354.43,Employed,1
46175.34,0.23,11639.38,Employed,1
72559.89,0.12,34244.96,Self-Employed,1
20000.0,0.17,19082.94,Employed,0
66372.6,0.0,11122.3,Self-Employed,1
68691.28,0.72,29976.32,Self-Employed,1
20000.0,0.73,17132.06,Employed,1
44859.69,0.51,27595.15,Employed,0
44428.39,0.16,17082.41,Employed,1
